NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2019 The Gayathri Project Authors (https://gitlab.com/smc/fonts/gayathri)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Gayathri Thin	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Gayathri Thin SMC	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Gayathri Thin	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Gayathri-Thin	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	SMC	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Binoy Dominic <binoy.domenic@gmail.com>	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	A gentle and modern Malayalam display typeface. Available in three weights, Gayathri is best suited for headlines, posters, titles and captions. Unicode compliant and libre licensed.	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	https://smc.org.in	(3, 1, 1033, 11)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Gayathri	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Thin	(3, 1, 1033, 17)
