NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2010 Vernon Adams (vern@newtypography.co.uk). Available under the terms of the SIL OFL v1.1 from http://scripts.sil.org/OFL	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Gruppo	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Gruppo:2010	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Gruppo	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.000	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Gruppo	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Gruppo is a trademark of Vernon Adams.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Vernon Adams	(1, 0, 0, 8)
Description	Macintosh	Roman	English	Gruppo X was concieved as a display typeface for style conscious, laid-back branding where 'little is more', or, in Jasper Morrison's words "Special is generally less useful than normal".	(1, 0, 0, 10)
License Text	Macintosh	Roman	English	Copyright (c) 2010 Vernon Adams (vern@newtypography.co.uk) with Reserved Font Name Gruppo.  This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Compatible Full Name	Macintosh	Roman	English	Gruppo	(1, 0, 0, 18)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2010 Vernon Adams (vern@newtypography.co.uk). Available under the terms of the SIL OFL v1.1 from http://scripts.sil.org/OFL	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Gruppo	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Gruppo:2010	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Gruppo	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Gruppo	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Gruppo is a trademark of Vernon Adams.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Vernon Adams	(3, 1, 1033, 8)
Description	Windows	Unicode BMP	English (United States)	Gruppo X was concieved as a display typeface for style conscious, laid-back branding where 'little is more', or, in Jasper Morrison's words "Special is generally less useful than normal".	(3, 1, 1033, 10)
License Text	Windows	Unicode BMP	English (United States)	Copyright (c) 2010 Vernon Adams (vern@newtypography.co.uk) with Reserved Font Name Gruppo.  This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Compatible Full Name	Windows	Unicode BMP	English (United States)	Gruppo	(3, 1, 1033, 18)
