NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	MS	BMP	English (U.S.)	Copyright 2020 The Hachi Maru Pop Project Authors (https://github.com/noriokanisawa/HachiMaruPop)	(3, 1, 1033, 0)
Family	MS	BMP	English (U.S.)	Hachi Maru Pop	(3, 1, 1033, 1)
Subfamily	MS	BMP	English (U.S.)	Regular	(3, 1, 1033, 2)
Unique ID	MS	BMP	English (U.S.)	1.201;nkan;HachiMaruPop-Regular	(3, 1, 1033, 3)
Full Name	MS	BMP	English (U.S.)	Hachi Maru Pop Regular	(3, 1, 1033, 4)
Version	MS	BMP	English (U.S.)	Version 1.201; ttfautohint (v1.8.3)	(3, 1, 1033, 5)
Postscript	MS	BMP	English (U.S.)	HachiMaruPop-Regular	(3, 1, 1033, 6)
Manufacturer	MS	BMP	English (U.S.)	Nontynet	(3, 1, 1033, 8)
Designer	MS	BMP	English (U.S.)	Nontynet	(3, 1, 1033, 9)
URL Vendor	MS	BMP	English (U.S.)	https://nonty.net/	(3, 1, 1033, 11)
URL Designer	MS	BMP	English (U.S.)	https://nonty.net/	(3, 1, 1033, 12)
License Description	MS	BMP	English (U.S.)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL	(3, 1, 1033, 13)
License Info URL	MS	BMP	English (U.S.)	https://scripts.sil.org/OFL	(3, 1, 1033, 14)
Family	MS	BMP	Japanese	はちまるポップ	(3, 1, 1041, 1)
Subfamily	MS	BMP	Japanese	Regular	(3, 1, 1041, 2)
