NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Name ID [256]	Macintosh	Roman	English	Arrows	(1, 0, 0, 256)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2017 The Inria Serif Project Authors (https://github.com/BlackFoundryCom/InriaFonts)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Inria Serif Light	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.000;BLCK;InriaSerif-LightItalic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Inria Serif Light Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.000; ttfautohint (v1.8.3)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	InriaSerif-LightItalic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Inria Serif is a trademark of BlackFoundry	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Black Foundry	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Black Foundry Team	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.black-foundry.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.black-foundry.com/company	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Inria Serif	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Light Italic	(3, 1, 1033, 17)
Name ID [256]	Windows	Unicode BMP	English (United States)	Arrows	(3, 1, 1033, 256)
