NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011-2015, Omnibus-Type (www.omnibus-type.com omnibus.type@gmail.com) with Reserved Font Name 'Jaldi' and 'Asap'	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Jaldi	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.007;OMNI;Jaldi-Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Jaldi Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.007	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Jaldi-Bold	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Jaldi is a trademark of Omnibus-Type.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Omnibus-Type	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Pablo Cosgaya and Nicolas Silva	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Jaldi is the devanagari version of Asap wich is based on Ancha (designed by Pablo Cosgaya & Hector Gatti). This family specially developed for screen and desktop use offers of a standarised character width on all styles which helps retain the same length on all text lines. 	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.omnibus-type.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.omnibus-type.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. 	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
