NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2010 The Josefin Sans Project Authors (https://github.com/ThomasJockin/JosefinSansFont-master), with Reserved Font Name "Josefin Sans".	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Josefin Sans Light	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.000;NONE;JosefinSans-Light	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Josefin Sans Light	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	JosefinSans-Light	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Josefin Sans is a trademark of Typemade.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Typemade	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Santiago Orozco	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.typemade.mx	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.typemade.mx	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Josefin Sans	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Light	(3, 1, 1033, 17)
