NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2010 by Typemade. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Josefin Slab	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.001;UKWN;JosefinSlab-Bold	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Josefin Slab Bold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.001	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	JosefinSlab-Bold	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Josefin Slab Bold is a trademark of Typemade.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Typemade	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Santiago Orozco	(1, 0, 0, 9)
Designer URL	Macintosh	Roman	English	www.typemade.mx	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	Copyright (c) 2010, Santiago Orozco (hi@typemade.mx), with Reserved Font Name Josefin. This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2010 by Typemade. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Josefin Slab	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.001;UKWN;JosefinSlab-Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Josefin Slab Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.001	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	JosefinSlab-Bold	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Josefin Slab Bold is a trademark of Typemade.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Typemade	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Santiago Orozco	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	www.typemade.mx	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Copyright (c) 2010, Santiago Orozco (hi@typemade.mx), with Reserved Font Name Josefin. This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
