NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2012, LatinoType (www.latinotype.com), with Reserved Font Name 'Julius'	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Julius Sans One	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	LatinoType: Julius Sans One: 2008	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Julius Sans One	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.002; ttfautohint (v1.3)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	JuliusSansOne-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Julius Sans One is a trademark of LatinoType.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	LatinoType	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Luciano Vergara	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	www.latinotype.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	www.latinotype.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
