NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2014-2015, Sol Matas (www.huertatipografica.com - sol@huertatipografica.com)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Kadwa	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.001;HT  ;Kadwa-Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Kadwa Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.001;PS 001.000;hotconv 1.0.70;makeotf.lib2.5.58329 DEVELOPMENT; ttfautohint (v1.00) -l 8 -r 50 -G 200 -x 14 -D latn -f none -w G	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Kadwa-Bold	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Kadwa is a trademark of Sol Matas (www.huertatipografica.com).	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Sol Matas	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Sol Matas	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	www.huertatipografica.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	www.huertatipografica.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
