NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2013 by Sovichet Tep with Reserved Font Name "Kantumruy". Copyright (c) 2010-2011 by tyPoland Lukasz Dziedzic with Reserved Font Name "Lato". Licensed under the SIL Open Font License, Version 1.1.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Kantumruy	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.300;1ASC;Kantumruy-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Kantumruy Bold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.3000	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Kantumruy-Bold	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	Sovichet Tep	(1, 0, 0, 8)
Vendor URL	Macintosh	Roman	English	https://anagata.design	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	https://anagata.design	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1.	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2013 by Sovichet Tep with Reserved Font Name "Kantumruy". Copyright (c) 2010-2011 by tyPoland Lukasz Dziedzic with Reserved Font Name "Lato". Licensed under the SIL Open Font License, Version 1.1.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Kantumruy	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.300;1ASC;Kantumruy-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Kantumruy Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.300	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Kantumruy-Bold	(3, 1, 1033, 6)
Vendor URL	Windows	Unicode BMP	English (United States)	https://anagata.design	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	https://anagata.design	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
