NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Family Name	Macintosh	Roman	English	Myanmar Khyay	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Myanmar Khyay:Version 1.10	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Myanmar Khyay	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.10 March 4, 2015	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	MyanmarKhyay	(1, 0, 0, 6)
Name ID [256]	Macintosh	Roman	English	NULL 	(1, 0, 0, 256)
Name ID [257]	Macintosh	Roman	English	Rearrangement 	(1, 0, 0, 257)
Name ID [258]	Macintosh	Roman	English	Do Rearrangement 	(1, 0, 0, 258)
Name ID [259]	Macintosh	Roman	English	Smart Swashes	(1, 0, 0, 259)
Name ID [260]	Macintosh	Roman	English	Special "ra"	(1, 0, 0, 260)
Name ID [261]	Macintosh	Roman	English	raMed_up	(1, 0, 0, 261)
Name ID [262]	Macintosh	Roman	English	raMed upper	(1, 0, 0, 262)
Name ID [263]	Macintosh	Roman	English	uVowels	(1, 0, 0, 263)
Name ID [264]	Macintosh	Roman	English	Long U	(1, 0, 0, 264)
Name ID [265]	Macintosh	Roman	English	u1037_alt	(1, 0, 0, 265)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2014 Google Inc. All Rights Reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Myanmar Khyay	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Myanmar Khyay:Version 1.10	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Myanmar Khyay	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.10 March 4, 2015	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	MyanmarKhyay	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Google Inc.	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Danh Hong	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.google.com/fonts	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.khmerkeyboard.com/	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Licensed under the Apache License, Version 2.0	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://www.apache.org/licenses/LICENSE-2.0	(3, 1, 1033, 14)
