NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2016 Indian Type Foundry (info@indiantypefoundry.com)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Kumar One	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.001;ITFO;KumarOne-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Kumar One Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.001;PS 1.001;hotconv 1.0.88;makeotf.lib2.5.647800	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	KumarOne-Regular	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Kumar One is a trademark of the Indian Type Foundry.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Indian Type Foundry	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Parimal Parmar	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://www.indiantypefoundry.com/googlefonts	(1, 0, 0, 11)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2016 Indian Type Foundry (info@indiantypefoundry.com)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Kumar One	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.001;ITFO;KumarOne-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Kumar One Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.001;PS 1.001;hotconv 1.0.88;makeotf.lib2.5.647800	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	KumarOne-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Kumar One is a trademark of the Indian Type Foundry.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Indian Type Foundry	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Parimal Parmar	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.indiantypefoundry.com/googlefonts	(3, 1, 1033, 11)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
