NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2014 Indian Type Foundry (info@indiantypefoundry.com)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Laila	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.302;ITFO;Laila-Bold	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Laila Bold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.302;PS 1.0;hotconv 1.0.78;makeotf.lib2.5.61930; ttfautohint (v1.1) -l 8 -r 50 -G 200 -x 14 -D latn -f deva -w gGD -W -c	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Laila-Bold	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Laila is a trademark of Indian Type Foundry.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Indian Type Foundry	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Hitesh Malaviya	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://www.indiantypefoundry.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.indiantypefoundry.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2014 Indian Type Foundry (info@indiantypefoundry.com)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Laila	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.302;ITFO;Laila-Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Laila Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.302;PS 1.0;hotconv 1.0.78;makeotf.lib2.5.61930; ttfautohint (v1.1) -l 8 -r 50 -G 200 -x 14 -D latn -f deva -w gGD -W -c	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Laila-Bold	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Laila is a trademark of Indian Type Foundry.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Indian Type Foundry	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Hitesh Malaviya	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.indiantypefoundry.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.indiantypefoundry.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
