NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Name ID [256]	Macintosh	Roman	English	Width	(1, 0, 0, 256)
Name ID [257]	Macintosh	Roman	English	Slant	(1, 0, 0, 257)
Name ID [258]	Macintosh	Roman	English	Condensed	(1, 0, 0, 258)
Name ID [259]	Macintosh	Roman	English	Condensed Italic	(1, 0, 0, 259)
Name ID [260]	Macintosh	Roman	English	SemiCondensed	(1, 0, 0, 260)
Name ID [261]	Macintosh	Roman	English	SemiCondensed Italic	(1, 0, 0, 261)
Name ID [262]	Macintosh	Roman	English	Regular	(1, 0, 0, 262)
Name ID [263]	Macintosh	Roman	English	Italic	(1, 0, 0, 263)
Name ID [264]	Macintosh	Roman	English	SemiExpanded	(1, 0, 0, 264)
Name ID [265]	Macintosh	Roman	English	SemiExpanded Italic	(1, 0, 0, 265)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2020 The League Gothic Project Authors (https://github.com/bghryct/league-gothic)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	League Gothic	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.600;NONE;LeagueGothic-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	League Gothic Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.600	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	LeagueGothic-Regular	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	The League of Moveable Type	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	http://theleagueofmoveabletype.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Name ID [256]	Windows	Unicode BMP	English (United States)	Width	(3, 1, 1033, 256)
Name ID [257]	Windows	Unicode BMP	English (United States)	Slant	(3, 1, 1033, 257)
Name ID [258]	Windows	Unicode BMP	English (United States)	Condensed	(3, 1, 1033, 258)
Name ID [259]	Windows	Unicode BMP	English (United States)	Condensed Italic	(3, 1, 1033, 259)
Name ID [260]	Windows	Unicode BMP	English (United States)	SemiCondensed	(3, 1, 1033, 260)
Name ID [261]	Windows	Unicode BMP	English (United States)	SemiCondensed Italic	(3, 1, 1033, 261)
Name ID [262]	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 262)
Name ID [263]	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 263)
Name ID [264]	Windows	Unicode BMP	English (United States)	SemiExpanded	(3, 1, 1033, 264)
Name ID [265]	Windows	Unicode BMP	English (United States)	SemiExpanded Italic	(3, 1, 1033, 265)
