NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2019 The Lexend Project Authors (https://github.com/ThomasJockin/lexend)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Lexend Deca	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.001;NONE;LexendDeca-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Lexend Deca Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.001	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	LexendDeca-Regular	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Lexend	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Thomas Jockin	(3, 1, 1033, 9)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
