NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2019 The Livvic Project Authors (https://github.com/Fonthausen/Livvic)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Livvic ExtraLight	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.001;FoHa;Livvic-ExtraLightItalic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Livvic ExtraLight Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.001; ttfautohint (v1.8.2)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Livvic-ExtraLightItalic	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	Jacques Le Bailly, Baron von Fonthausen	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.baronvonfonthausen.com/	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Livvic	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	ExtraLight Italic	(3, 1, 1033, 17)
