NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 1997 - 2011, John Vargas Beltran. (www.johnvargasbeltran.com|john.vargasbeltran@gmail.com), with Reserved Font Name "Macondo"	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Macondo	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	JohnVargasBeltran: Macondo Regular: 1997	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Macondo	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 2.001	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Macondo-Regular	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Macondo is a trademark of John Vargas Beltran.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	John Vargas Beltran	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	John Vargas Beltran	(1, 0, 0, 9)
Designer URL	Macintosh	Roman	English	www.johnvargasbeltran.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 1997 - 2011, John Vargas Beltran. (www.johnvargasbeltran.com|john.vargasbeltran@gmail.com), with Reserved Font Name "Macondo"	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Macondo	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	JohnVargasBeltran: Macondo Regular: 1997	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Macondo	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.001	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Macondo-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Macondo is a trademark of John Vargas Beltran.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	John Vargas Beltran	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	John Vargas Beltran	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	www.johnvargasbeltran.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
