NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright © 2015-2016 The Mada Project Authors, with Reserved Font Name "Source". Source is a trademark of Adobe Systems Incorporated in the United States and/or other countries.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Mada	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Light	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.004;UKWN;Mada-Light	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Mada Light	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.004	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Mada-Light	(1, 0, 0, 6)
Designer	Macintosh	Roman	English	Khaled Hosny	(1, 0, 0, 9)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright © 2015-2016 The Mada Project Authors, with Reserved Font Name "Source". Source is a trademark of Adobe Systems Incorporated in the United States and/or other countries.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Mada Light	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.004;UKWN;Mada-Light	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Mada Light	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.004	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Mada-Light	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	Khaled Hosny	(3, 1, 1033, 9)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Mada	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Light	(3, 1, 1033, 17)
