NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2012 Silicon Andhra (fonts.siliconandhra.org). Copyright (c) 2011, Vernon Adams (vern@newtypography.co.uk), with Reserved Font Name Nunito	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Mandali	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Mandali:Version 1.0.5	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Mandali	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.0.5; ttfautohint (v1.2.25-373a) -l 7 -r 28 -G 50 -x 13 -D telu -f latn -w G -X ""	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Mandali	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	Silikandhra, Hyderabad	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Purushoth Kumar Guthula	(1, 0, 0, 9)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Compatible Full Name	Macintosh	Roman	English	Mandali	(1, 0, 0, 18)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2012 Silicon Andhra (fonts.siliconandhra.org). Copyright (c) 2011, Vernon Adams (vern@newtypography.co.uk), with Reserved Font Name Nunito	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Mandali	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Mandali:Version 1.0.5	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Mandali	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.0.5; ttfautohint (v1.2.25-373a) -l 7 -r 28 -G 50 -x 13 -D telu -f latn -w G -X ""	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Mandali	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Silikandhra, Hyderabad	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Purushoth Kumar Guthula	(3, 1, 1033, 9)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Compatible Full Name	Windows	Unicode BMP	English (United States)	Mandali	(3, 1, 1033, 18)
