NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2018 The MaShanZheng Project Authors (https://github.com/googlefonts/mashanzheng)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Ma Shan Zheng	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	2.001;ZYEC;MaShanZheng-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Ma Shan Zheng Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 2.001	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	MaShanZheng-Regular	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Trademark of zhongqifont shanghai	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	ZhongQi	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	ZhongQi	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://www.zhongqifont.com/	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.zhongqifont.com/	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Family Name	Macintosh	Chinese (Simplified)	Chinese (Simplified)	钟齐马善政毛笔楷书	(1, 25, 33, 1)
Subfamily Name	Macintosh	Chinese (Simplified)	Chinese (Simplified)	Regular	(1, 25, 33, 2)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2018 The MaShanZheng Project Authors (https://github.com/googlefonts/mashanzheng)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Ma Shan Zheng	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.001;ZYEC;MaShanZheng-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Ma Shan Zheng Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.001	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	MaShanZheng-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Trademark of zhongqifont shanghai	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	ZhongQi	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	ZhongQi	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.zhongqifont.com/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.zhongqifont.com/	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Family Name	Windows	Unicode BMP	Chinese (People’s Republic of China)	钟齐马善政毛笔楷书	(3, 1, 2052, 1)
Subfamily Name	Windows	Unicode BMP	Chinese (People’s Republic of China)	Regular	(3, 1, 2052, 2)
