NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Variations PostScript Name Prefix	Macintosh	Roman	English	MerriweatherSansItalic	(1, 0, 0, 25)
Name ID [256]	Macintosh	Roman	English	Weight	(1, 0, 0, 256)
Name ID [257]	Macintosh	Roman	English	Light Italic	(1, 0, 0, 257)
Name ID [258]	Macintosh	Roman	English	Italic	(1, 0, 0, 258)
Name ID [259]	Macintosh	Roman	English	Bold Italic	(1, 0, 0, 259)
Name ID [260]	Macintosh	Roman	English	ExtraBold Italic	(1, 0, 0, 260)
Name ID [261]	Macintosh	Roman	English	MerriweatherSansItalic-Light	(1, 0, 0, 261)
Name ID [262]	Macintosh	Roman	English	MerriweatherSansItalic-Regular	(1, 0, 0, 262)
Name ID [263]	Macintosh	Roman	English	MerriweatherSansItalic-Bold	(1, 0, 0, 263)
Name ID [264]	Macintosh	Roman	English	MerriweatherSansItalic-ExtraBold	(1, 0, 0, 264)
Name ID [265]	Macintosh	Roman	English	Light	(1, 0, 0, 265)
Name ID [266]	Macintosh	Roman	English	Regular	(1, 0, 0, 266)
Name ID [267]	Macintosh	Roman	English	Bold	(1, 0, 0, 267)
Name ID [268]	Macintosh	Roman	English	ExtraBold	(1, 0, 0, 268)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2019 The Merriweather Project Authors (https://github.com/SorkinType/Merriweather-Sans)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Merriweather Sans	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.001;STC ;MerriweatherSans-Italic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Merriweather Sans Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.001	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	MerriweatherSans-Italic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Merriweather is a trademark of Sorkin Type Co.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Eben Sorkin	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Eben Sorkin	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	sorkintype.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	sorkintype.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Variations PostScript Name Prefix	Windows	Unicode BMP	English (United States)	MerriweatherSansItalic	(3, 1, 1033, 25)
Name ID [256]	Windows	Unicode BMP	English (United States)	Weight	(3, 1, 1033, 256)
Name ID [257]	Windows	Unicode BMP	English (United States)	Light Italic	(3, 1, 1033, 257)
Name ID [258]	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 258)
Name ID [259]	Windows	Unicode BMP	English (United States)	Bold Italic	(3, 1, 1033, 259)
Name ID [260]	Windows	Unicode BMP	English (United States)	ExtraBold Italic	(3, 1, 1033, 260)
Name ID [261]	Windows	Unicode BMP	English (United States)	MerriweatherSansItalic-Light	(3, 1, 1033, 261)
Name ID [262]	Windows	Unicode BMP	English (United States)	MerriweatherSansItalic-Regular	(3, 1, 1033, 262)
Name ID [263]	Windows	Unicode BMP	English (United States)	MerriweatherSansItalic-Bold	(3, 1, 1033, 263)
Name ID [264]	Windows	Unicode BMP	English (United States)	MerriweatherSansItalic-ExtraBold	(3, 1, 1033, 264)
Name ID [265]	Windows	Unicode BMP	English (United States)	Light	(3, 1, 1033, 265)
Name ID [266]	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 266)
Name ID [267]	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 267)
Name ID [268]	Windows	Unicode BMP	English (United States)	ExtraBold	(3, 1, 1033, 268)
