NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Family Name	Macintosh	Roman	English	Mplus 1p	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	ExtraBold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.061g;GoogleFonts;Mplus1p-ExtraBold	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Mplus 1p ExtraBold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.061	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Mplus1p-ExtraBold	(1, 0, 0, 6)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2016 The M+ Project Authors.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Mplus 1p ExtraBold	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.061g;GoogleFonts;Mplus1p-ExtraBold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Mplus 1p ExtraBold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.061	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Mplus1p-ExtraBold	(3, 1, 1033, 6)
Vendor URL	Windows	Unicode BMP	English (United States)	http://mplus-fonts.osdn.jp	(3, 1, 1033, 11)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Mplus 1p	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	ExtraBold	(3, 1, 1033, 17)
