NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2016, Ek Type. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Mukta Vaani	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Medium	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	2.538;EKTF;MuktaVaani-Medium	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Mukta Vaani Medium	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 2.538;PS 1.000;hotconv 16.6.51;makeotf.lib2.5.65220; ttfautohint (v1.6)	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	MuktaVaani-Medium	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	Ek Type	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Noopur Datye, Girish Dalvi, Yashodeep Gholap, Pallavi Karambelkar	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	www.ektype.in	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	www.ektype.in	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2016, Ek Type. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Mukta Vaani Medium	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.538;EKTF;MuktaVaani-Medium	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Mukta Vaani Medium	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.538;PS 1.000;hotconv 16.6.51;makeotf.lib2.5.65220; ttfautohint (v1.6)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	MuktaVaani-Medium	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Ek Type	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Noopur Datye, Girish Dalvi, Yashodeep Gholap, Pallavi Karambelkar	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	www.ektype.in	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	www.ektype.in	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Mukta Vaani	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Medium	(3, 1, 1033, 17)
