NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright © 2011 NHN Corporation. All rights reserved. Font designed by Sandoll Communications Inc.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	NanumGothic	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	3.020;SAND;NanumGothic	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	NanumGothic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 3.020;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	NanumGothic	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	NanumGothic Regular is a registered trademark of NHN Corporation.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	NHN Corporation	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Bruce Kwon; Nicolas Noh; Sung-woo Choi;	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://www.nhncorp.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.sandoll.co.kr	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	NHN Corporation	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://www.nhncorp.com	(1, 0, 0, 14)
Copyright	Macintosh	Korean	Korean	b'Copyright \x83 2011 NHN Corporation. All rights reserved. Font designed by Sandoll Communications Inc.'	(1, 3, 23, 0)
Family Name	Macintosh	Korean	Korean	나눔고딕	(1, 3, 23, 1)
Subfamily Name	Macintosh	Korean	Korean	Regular	(1, 3, 23, 2)
Full Font Name	Macintosh	Korean	Korean	나눔고딕	(1, 3, 23, 4)
Designer	Macintosh	Korean	Korean	권경석; 노영권; 최성우;	(1, 3, 23, 9)
PostScript CID findfont Name	Macintosh	Korean	Unknown Language ID: 65535	NanumGothic-KSCpc-EUC-H	(1, 3, 65535, 20)
Copyright	Windows	Unicode BMP	English (United States)	Copyright © 2011 NHN Corporation. All rights reserved. Font designed by Sandoll Communications Inc.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	NanumGothic	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	3.020;SAND;NanumGothic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	NanumGothic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 3.020;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	NanumGothic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	NanumGothic Regular is a registered trademark of NHN Corporation.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	NHN Corporation	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Bruce Kwon; Nicolas Noh; Sung-woo Choi;	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.nhncorp.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.sandoll.co.kr	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	NHN Corporation	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://www.nhncorp.com	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	NanumGothic	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 17)
Family Name	Windows	Unicode BMP	Korean (Korea)	나눔고딕	(3, 1, 1042, 1)
Subfamily Name	Windows	Unicode BMP	Korean (Korea)	Regular	(3, 1, 1042, 2)
Full Font Name	Windows	Unicode BMP	Korean (Korea)	나눔고딕	(3, 1, 1042, 4)
Designer	Windows	Unicode BMP	Korean (Korea)	권경석; 노영권; 최성우;	(3, 1, 1042, 9)
Typographic Family Name	Windows	Unicode BMP	Korean (Korea)	나눔고딕	(3, 1, 1042, 16)
Typographic Subfamily Name	Windows	Unicode BMP	Korean (Korea)	Regular	(3, 1, 1042, 17)
