NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright © 2009 NHN Corporation. All rights reserved. Font designed by Sandoll Communications Inc.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	NanumGothicCoding	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	NanumGothicCoding	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	NanumGothicCoding	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.000;PS 1;hotconv 1.0.49;makeotf.lib2.0.14853	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	NanumGothicCoding	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	NanumGothicCoding is a registered trademark of NHN Corporation.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	NHN Corporation	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Kwon Bruce; Nicolas Noh; Sung-woo Choi; Go-un Cha; Soo-hyun Park;	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.nhncorp.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.sandoll.co.kr	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://dev.naver.com/wiki/nanumfont/index.php/OpenFontLicense	(3, 1, 1033, 14)
Copyright	Windows	Unicode BMP	Korean (Korea)	Copyright © 2009 NHN Corporation. All rights reserved. Font designed by Sandoll Communications Inc.	(3, 1, 1042, 0)
Family Name	Windows	Unicode BMP	Korean (Korea)	나눔고딕코딩	(3, 1, 1042, 1)
Subfamily Name	Windows	Unicode BMP	Korean (Korea)	Regular	(3, 1, 1042, 2)
Unique Font Identifier	Windows	Unicode BMP	Korean (Korea)	NanumGothicCoding	(3, 1, 1042, 3)
Full Font Name	Windows	Unicode BMP	Korean (Korea)	나눔고딕코딩	(3, 1, 1042, 4)
Version	Windows	Unicode BMP	Korean (Korea)	Version 2.000;PS 1;hotconv 1.0.49;makeotf.lib2.0.14853	(3, 1, 1042, 5)
PostScript Name	Windows	Unicode BMP	Korean (Korea)	NanumGothicCoding	(3, 1, 1042, 6)
Trademark	Windows	Unicode BMP	Korean (Korea)	NanumGothicCoding is a registered trademark of NHN Corporation.	(3, 1, 1042, 7)
Designer	Windows	Unicode BMP	Korean (Korea)	권경석; 노영권; 최성우; 차고운; 박수현;	(3, 1, 1042, 9)
