NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2010 by vernon adams. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Nobile	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	vernonadams: Nobile: 2010	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Nobile	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 001.001	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Nobile-Regular	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Nobile is a trademark of vernon adams.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	vernon adams	(1, 0, 0, 8)
Description	Macintosh	Roman	English	Copyright (c) 2007-2010 by vernon adams. All rights reserved.	(1, 0, 0, 10)
Typographic Family Name	Macintosh	Roman	English	Nobile	(1, 0, 0, 16)
Typographic Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 17)
Compatible Full Name	Macintosh	Roman	English	Nobile	(1, 0, 0, 18)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2010 by vernon adams. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Nobile	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	vernonadams: Nobile: 2010	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Nobile	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 001.001	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Nobile-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Nobile is a trademark of vernon adams.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	vernon adams	(3, 1, 1033, 8)
Description	Windows	Unicode BMP	English (United States)	Copyright (c) 2007-2010 by vernon adams. All rights reserved.	(3, 1, 1033, 10)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Nobile	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 17)
Compatible Full Name	Windows	Unicode BMP	English (United States)	Nobile	(3, 1, 1033, 18)
