NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2011 JM Sole (info@jmsole.cl), with Reserved Font Name "Noticia Text".	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Noticia Text	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	JMSole: Noticia Text: 2011	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Noticia Text	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.003	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	NoticiaText-Regular	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Noticia Text Regular is a trademark of JM Sole.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	JM Sole	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	JM Sole	(1, 0, 0, 9)
Designer URL	Macintosh	Roman	English	http://jmsole.cl	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Compatible Full Name	Macintosh	Roman	English	Noticia Text	(1, 0, 0, 18)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011 JM Sole (info@jmsole.cl), with Reserved Font Name "Noticia Text".	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Noticia Text	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	JMSole: Noticia Text: 2011	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Noticia Text	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.003	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	NoticiaText-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Noticia Text Regular is a trademark of JM Sole.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	JM Sole	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	JM Sole	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	http://jmsole.cl	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
