NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	MS	BMP	English (U.S.)	Copyright 2020 Google LLC. All rights reserved	(3, 1, 1033, 0)
Family	MS	BMP	English (U.S.)	Noto Sans Thai Looped Light	(3, 1, 1033, 1)
Subfamily	MS	BMP	English (U.S.)	Regular	(3, 1, 1033, 2)
Unique ID	MS	BMP	English (U.S.)	1.00;GOOG;NotoSansThaiLooped-Light	(3, 1, 1033, 3)
Full Name	MS	BMP	English (U.S.)	Noto Sans Thai Looped Light	(3, 1, 1033, 4)
Version	MS	BMP	English (U.S.)	Version 1.00	(3, 1, 1033, 5)
Postscript	MS	BMP	English (U.S.)	NotoSansThaiLooped-Light	(3, 1, 1033, 6)
Trademark	MS	BMP	English (U.S.)	Noto is a trademark of Google LLC.	(3, 1, 1033, 7)
Manufacturer	MS	BMP	English (U.S.)	The Fontpad Ltd	(3, 1, 1033, 8)
Designer	MS	BMP	English (U.S.)	Sasikarn Vongin, Ben Mitchell	(3, 1, 1033, 9)
Description	MS	BMP	English (U.S.)	Design by The Fontpad Ltd	(3, 1, 1033, 10)
URL Vendor	MS	BMP	English (U.S.)	http://www.google.com/get/noto	(3, 1, 1033, 11)
URL Designer	MS	BMP	English (U.S.)	http://www.fontpad.co.uk	(3, 1, 1033, 12)
License Description	MS	BMP	English (U.S.)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.	(3, 1, 1033, 13)
License Info URL	MS	BMP	English (U.S.)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family name	MS	BMP	English (U.S.)	Noto Sans Thai Looped	(3, 1, 1033, 16)
Typographic Subfamily name	MS	BMP	English (U.S.)	Light	(3, 1, 1033, 17)
Compatible Full (Mac only)	MS	BMP	English (U.S.)	Noto Sans Thai Looped Light	(3, 1, 1033, 18)
Sample Text	MS	BMP	English (U.S.)	กขฃคฅฆง	(3, 1, 1033, 19)
