NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2011, wmk69 (wmk69@o2.pl) with Reserved Font Names 'NovaRound' and 'Nova Round'.  This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Nova Round	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Book	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	FontForge : Nova Round : 13-8-2011	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Nova Round	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 2.000	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	NovaRound	(1, 0, 0, 6)
License Text	Macintosh	Roman	English	Copyright (c) 2011, wmk69, (wmk69@o2.pl) with Reserved Font Name 'NovaRound' and 'Nova Round'.  This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL 	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011, wmk69 (wmk69@o2.pl) with Reserved Font Names 'NovaRound' and 'Nova Round'.  This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Nova Round	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Book	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	FontForge : Nova Round : 13-8-2011	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Nova Round	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	NovaRound	(3, 1, 1033, 6)
License Text	Windows	Unicode BMP	English (United States)	Copyright (c) 2011, wmk69, (wmk69@o2.pl) with Reserved Font Name 'NovaRound' and 'Nova Round'.  This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL 	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
