NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2011, wmk69 (wmk69@o2.pl) with Reserved Font Names 'NovaScript' and 'Nova Script'.  This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Nova Script	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	2.001;UKWN;NovaScript-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Nova Script Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 2.001	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	NovaScript-Regular	(1, 0, 0, 6)
License Text	Macintosh	Roman	English	Copyright (c) 2011, wmk69, (wmk69@o2.pl) with Reserved Font Name 'NovaScript' and 'Nova Script'.  This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL 	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011, wmk69 (wmk69@o2.pl) with Reserved Font Names 'NovaScript' and 'Nova Script'.  This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Nova Script	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.001;UKWN;NovaScript-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Nova Script Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.001	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	NovaScript-Regular	(3, 1, 1033, 6)
License Text	Windows	Unicode BMP	English (United States)	Copyright (c) 2011, wmk69, (wmk69@o2.pl) with Reserved Font Name 'NovaScript' and 'Nova Script'.  This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL 	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
