NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2017 The Odibee Sans Project Authors (https://github.com/barnard555/odibeesans)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Odibee Sans	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.001;NONE;OdibeeSans-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Odibee Sans Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.001; ttfautohint (v1.8.3)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	OdibeeSans-Regular	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	James Barnard - Barnard Co. Limited	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	http://barnard.co	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
