NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2012 Patrick Wagesreiter (mail@patrickwagesreiter.at)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Patrick Hand	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.003;UKWN;PatrickHand-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Patrick Hand	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.003;PS 001.003;hotconv 1.0.70;makeotf.lib2.5.58329; ttfautohint (v0.94.20-1c74) -l 8 -r 50 -G 200 -x 14 -w "gGD" -c -f	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	PatrickHand-Regular	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	Patrick Wagesreiter	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Patrick Wagesreiter	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://www.patrickwagesreiter.at	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.patrickwagesreiter.at	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Compatible Full Name	Macintosh	Roman	English	Patrick Hand Regular	(1, 0, 0, 18)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2012 Patrick Wagesreiter (mail@patrickwagesreiter.at)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Patrick Hand	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.003;UKWN;PatrickHand-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Patrick Hand	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.003;PS 001.003;hotconv 1.0.70;makeotf.lib2.5.58329; ttfautohint (v0.94.20-1c74) -l 8 -r 50 -G 200 -x 14 -w "gGD" -c -f	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	PatrickHand-Regular	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Patrick Wagesreiter	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Patrick Wagesreiter	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.patrickwagesreiter.at	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.patrickwagesreiter.at	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Compatible Full Name	Windows	Unicode BMP	English (United States)	Patrick Hand Regular	(3, 1, 1033, 18)
