NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011, Ministry of Posts and Telecommunications, Laos (www.phetsarath.gov.la)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Phetsarath	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Phetsarath:Version 1.01	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Phetsarath Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.01	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Phetsarath-Regular	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Danh Hong	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Danh Hong	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Phetsarath is a font for the Laotian language of Laos.	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	www.phetsarath.gov.la	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://khmertype.blogspot.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Compatible Full Name	Windows	Unicode BMP	English (United States)	Phetsarath	(3, 1, 1033, 18)
