NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2013 by Tyler Finck. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Porter Sans Block	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Block	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	TylerFinck: Porter Sans Block: 2013	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Porter Sans Block	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.000	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	PorterSansBlock	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Porter Sans Block is a trademark of Tyler Finck.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Tyler Finck	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Tyler Finck	(1, 0, 0, 9)
Description	Macintosh	Roman	English	Copyright (c) 2013 by . All rights reserved.	(1, 0, 0, 10)
Vendor URL	Macintosh	Roman	English	shop.tylerfinck.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	www.finck.co	(1, 0, 0, 12)
Typographic Family Name	Macintosh	Roman	English	Porter Sans Block	(1, 0, 0, 16)
Typographic Subfamily Name	Macintosh	Roman	English	Block	(1, 0, 0, 17)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2013 by Tyler Finck. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Porter Sans Block	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	TylerFinck: Porter Sans Block: 2013	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	PorterSansBlock	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	PorterSansBlock	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Porter Sans Block is a trademark of Tyler Finck.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Tyler Finck	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Tyler Finck	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Copyright (c) 2013 by . All rights reserved.	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	shop.tylerfinck.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	www.finck.co	(3, 1, 1033, 12)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Porter Sans Block	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Block	(3, 1, 1033, 17)
