NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2013 by Jasper de Waard. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Proza Libre	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	ExtraBold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.001;UKWN;ProzaLibre-ExtraBold	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Proza Libre ExtraBold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.001; ttfautohint (v1.4.1.8-43bc)	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	ProzaLibre-ExtraBold	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Proza Libre ExtraBold is a trademark of Jasper de Waard.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Jasper de Waard	(1, 0, 0, 8)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2013 by Jasper de Waard. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Proza Libre ExtraBold	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.001;UKWN;ProzaLibre-ExtraBold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Proza Libre ExtraBold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.001; ttfautohint (v1.4.1.8-43bc)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	ProzaLibre-ExtraBold	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Proza Libre ExtraBold is a trademark of Jasper de Waard.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Jasper de Waard	(3, 1, 1033, 8)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Proza Libre	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	ExtraBold	(3, 1, 1033, 17)
