NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2014 by TipTopTyp. All rights reserved under SIL openfont License 1.1	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Ranga	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.0;KORK;Ranga-Bold	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Ranga Bold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.0.2	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Ranga-Bold	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	A&O	(1, 0, 0, 8)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2014 by TipTopTyp. All rights reserved under SIL openfont License 1.1	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Ranga	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.0;KORK;Ranga-Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Ranga Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.0.2	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Ranga-Bold	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	A&O	(3, 1, 1033, 8)
