NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2015 by Rosetta Type Foundry s.r.o. (info@rosettatype.com).	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Rasa	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Light	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.001;UKWN;Rasa-Light	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Rasa Light	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.001;PS 1.001;hotconv 1.0.88;makeotf.lib2.5.647800; ttfautohint (v1.3.34-f4db)	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Rasa-Light	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Yrsa & Rasa are trademarks of Rosetta Type Foundry.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Rosetta Type Foundry	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Anna Giedrys (Latin/Yrsa design), David Brezina (Latin/Yrsa art-direction, Gujarati/Rasa design)	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://rosettatype.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://davi.cz & http://ancymonic.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2015 by Rosetta Type Foundry s.r.o. (info@rosettatype.com).	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Rasa Light	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.001;UKWN;Rasa-Light	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Rasa Light	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.001;PS 1.001;hotconv 1.0.88;makeotf.lib2.5.647800; ttfautohint (v1.3.34-f4db)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Rasa-Light	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Yrsa & Rasa are trademarks of Rosetta Type Foundry.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Rosetta Type Foundry	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Anna Giedrys (Latin/Yrsa design), David Brezina (Latin/Yrsa art-direction, Gujarati/Rasa design)	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://rosettatype.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://davi.cz & http://ancymonic.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Rasa	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Light	(3, 1, 1033, 17)
