NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2019 The Red Hat Project Authors (https://github.com/RedHatOfficial/RedHatFont)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Red Hat Display	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold Italic	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.005;MCKL;RedHatDisplay-BoldItalic	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Red Hat Display Bold It	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.005; Red Hat Display Bold Italic	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	RedHatDisplay-BoldItalic	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Copyright 2019 The Red Hat Project Authors (https://github.com/RedHatOfficial/RedHatFont)	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Pentagram / MCKL	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Pentagram / MCKL	(1, 0, 0, 9)
Description	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 10)
Vendor URL	Macintosh	Roman	English	http://www.mckltype.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://pentagram.com/	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2019 The Red Hat Project Authors (https://github.com/RedHatOfficial/RedHatFont)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Red Hat Display	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.005;MCKL;RedHatDisplay-BoldItalic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Red Hat Display Bold It	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.005; Red Hat Display Bold Italic	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	RedHatDisplay-BoldItalic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Copyright 2019 The Red Hat Project Authors (https://github.com/RedHatOfficial/RedHatFont)	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Pentagram / MCKL	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Pentagram / MCKL	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.mckltype.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://pentagram.com/	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
