NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2011 TypeSETit, LLC (typesetit@att.net), with Reserved Font Name "Ruge Boogie"	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Ruge Boogie	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	RobertE.Leuschke: Ruge Boogie: 2011	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Ruge Boogie	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.003	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	RugeBoogie-Regular	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Ruge Boogie is a trademark of TypeSETit, LLC	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Robert E. Leuschke	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Robert E. Leuschke	(1, 0, 0, 9)
Designer URL	Macintosh	Roman	English	www.typesetit.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011 TypeSETit, LLC (typesetit@att.net), with Reserved Font Name "Ruge Boogie"	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Ruge Boogie	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	RobertE.Leuschke: Ruge Boogie: 2011	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Ruge Boogie	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.003	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	RugeBoogie-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Ruge Boogie is a trademark of TypeSETit, LLC	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Robert E. Leuschke	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Robert E. Leuschke	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	www.typesetit.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
