NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Family Name	Macintosh	Roman	English	Sawarabi Gothic	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.00g;GoogleFonts;SawarabiGothic-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Sawarabi Gothic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 20141215 	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	SawarabiGothic-Regular	(1, 0, 0, 6)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2016 The Sawarabi Gothic Project Authors.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Sawarabi Gothic	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.00g;GoogleFonts;SawarabiGothic-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Sawarabi Gothic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 20141215 	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	SawarabiGothic-Regular	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	mshio (mshio@users.sourceforge.jp)	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://sawarabi-fonts.sourceforge.jp	(3, 1, 1033, 11)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Family Name	Windows	Unicode BMP	Japanese (Japan)	さわらびゴシック	(3, 1, 1041, 1)
Subfamily Name	Windows	Unicode BMP	Japanese (Japan)	Regular	(3, 1, 1041, 2)
Full Font Name	Windows	Unicode BMP	Japanese (Japan)	さわらびゴシック	(3, 1, 1041, 4)
