NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright(c)2008-2010. Seoul Metropolitan Government. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	SeoulNamsan EB	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Yoon_Design_SeoulNamsanEB_Seoul_Namsan	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	SeoulNamsan EB	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.07	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	SeoulNamsanEB	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	SeoulNamsanEB is a registered trademark of Yoon Design Inc.	(3, 1, 1033, 7)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.yoonfont.co.kr	(3, 1, 1033, 11)
License URL	Windows	Unicode BMP	English (United States)	http://www.yoonfont.co.kr	(3, 1, 1033, 14)
Typographic Family Name	Windows	Unicode BMP	English (United States)	SeoulNamsan	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	EB	(3, 1, 1033, 17)
Copyright	Windows	Unicode BMP	Korean (Korea)	Copyright(c)2008-2010. Seoul Metropolitan Government. All rights reserved.	(3, 1, 1042, 0)
Family Name	Windows	Unicode BMP	Korean (Korea)	서울남산체 EB	(3, 1, 1042, 1)
Subfamily Name	Windows	Unicode BMP	Korean (Korea)	Regular	(3, 1, 1042, 2)
Unique Font Identifier	Windows	Unicode BMP	Korean (Korea)	Yoon_Design_SeoulNamsanEB_Seoul_Namsan	(3, 1, 1042, 3)
Full Font Name	Windows	Unicode BMP	Korean (Korea)	서울남산체 EB	(3, 1, 1042, 4)
Version	Windows	Unicode BMP	Korean (Korea)	Version 1.07	(3, 1, 1042, 5)
PostScript Name	Windows	Unicode BMP	Korean (Korea)	SeoulNamsanEB	(3, 1, 1042, 6)
Trademark	Windows	Unicode BMP	Korean (Korea)	SeoulNamsanEB is a registered trademark of Yoon Design Inc.	(3, 1, 1042, 7)
Typographic Family Name	Windows	Unicode BMP	Korean (Korea)	서울남산체	(3, 1, 1042, 16)
Typographic Subfamily Name	Windows	Unicode BMP	Korean (Korea)	EB	(3, 1, 1042, 17)
