NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2010, Danh Hong (khmertype.blogspot.com),??with Reserved Font Name Khmer OS Siemreap.??This Font Software is licensed under the SIL Open Font License, Version 1.1.??This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Siemreap	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Siemreap:Version 6.00	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Siemreap	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 6.00 December 28, 2010	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Siemreap	(1, 0, 0, 6)
Designer	Macintosh	Roman	English	Danh Hong	(1, 0, 0, 9)
Designer URL	Macintosh	Roman	English	khmertype.blogspot.com	(1, 0, 0, 12)
Name ID [256]	Macintosh	Roman	English	All Typographic Features	(1, 0, 0, 256)
Name ID [257]	Macintosh	Roman	English	Ligatures	(1, 0, 0, 257)
Name ID [258]	Macintosh	Roman	English	All Type Features	(1, 0, 0, 258)
Name ID [259]	Macintosh	Roman	English	Common Ligatures	(1, 0, 0, 259)
Name ID [256]	Macintosh	Roman	French	Fonctions typographiques	(1, 0, 1, 256)
Name ID [257]	Macintosh	Roman	French	Ligatures	(1, 0, 1, 257)
Name ID [258]	Macintosh	Roman	French	Toutes fonctions typographiques	(1, 0, 1, 258)
Name ID [259]	Macintosh	Roman	French	Ligatures Usuelles	(1, 0, 1, 259)
Name ID [256]	Macintosh	Roman	German	Alle typografischen Möglichkeiten	(1, 0, 2, 256)
Name ID [257]	Macintosh	Roman	German	Ligaturen	(1, 0, 2, 257)
Name ID [258]	Macintosh	Roman	German	Alle Auszeichnungsarten	(1, 0, 2, 258)
Name ID [259]	Macintosh	Roman	German	Normale Ligaturen	(1, 0, 2, 259)
Name ID [256]	Macintosh	Roman	Italian	Funzioni Tipografiche	(1, 0, 3, 256)
Name ID [257]	Macintosh	Roman	Italian	Legature	(1, 0, 3, 257)
Name ID [258]	Macintosh	Roman	Italian	Tutte le Funzioni	(1, 0, 3, 258)
Name ID [259]	Macintosh	Roman	Italian	Legature più Comuni	(1, 0, 3, 259)
Name ID [256]	Macintosh	Roman	Dutch	Alle typografische kenmerken	(1, 0, 4, 256)
Name ID [257]	Macintosh	Roman	Dutch	Ligaturen	(1, 0, 4, 257)
Name ID [258]	Macintosh	Roman	Dutch	Alle typekenmerken	(1, 0, 4, 258)
Name ID [259]	Macintosh	Roman	Dutch	Gemeenschappelijke Ligaturen	(1, 0, 4, 259)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2010, Danh Hong (khmertype.blogspot.com),  with Reserved Font Name Siemreap.  This Font Software is licensed under the SIL Open Font License, Version 1.1.  This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Siemreap	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Siemreap:Version 6.00	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Siemreap	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 6.00 December 28, 2010	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Siemreap	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	Danh Hong	(3, 1, 1033, 9)
Designer URL	Windows	Unicode BMP	English (United States)	khmertype.blogspot.com	(3, 1, 1033, 12)
