NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2014, Neelakash Kshetrimayum (github.com/Neelakash/sitara). Copyright 2013, Google Corporation.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Sitara	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.000;NEEL;Sitara-Italic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Sitara Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.000;PS Version 1.000;PS 1.0;hotconv 1.;hotconv 1.0.78;makeotf.lib2.5.61930	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Sitara-Italic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Sitara is a trademark of Neelakash Kshetrimayum	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Neelakash Kshetrimayum	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Neelakash Kshetrimayum	(3, 1, 1033, 9)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
