NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2010 by vernon adams. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Six Caps	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	vernonadams: Six Caps: 2010	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Six Caps	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 001.000	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	SixCaps	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Six Caps is a trademark of vernon adams.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	vernon adams	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	vernon adams	(1, 0, 0, 9)
Description	Macintosh	Roman	English	Copyright (c) 251 by vernon adams. All rights reserved.	(1, 0, 0, 10)
Vendor URL	Macintosh	Roman	English	newtypography.co.uk	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	newtypography.co.uk	(1, 0, 0, 12)
Compatible Full Name	Macintosh	Roman	English	Six Caps	(1, 0, 0, 18)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2010 by vernon adams. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Six Caps	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	vernonadams: Six Caps: 2010	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Six Caps	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 001.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	SixCaps	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Six Caps is a trademark of vernon adams.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	vernon adams	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	vernon adams	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Copyright (c) 251 by vernon adams. All rights reserved.	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	newtypography.co.uk	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	newtypography.co.uk	(3, 1, 1033, 12)
Compatible Full Name	Windows	Unicode BMP	English (United States)	Six Caps	(3, 1, 1033, 18)
