NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2010, Barry Schwartz (chemoelectric@chemoelectric.org)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Sorts Mill Goudy	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Italic	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	FontForge 2.0 : Sorts Mill Goudy Italic : 31-8-2011	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Sorts Mill Goudy Italic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 003.101 	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	SortsMillGoudy-Italic	(1, 0, 0, 6)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2010, Barry Schwartz (chemoelectric@chemoelectric.org)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Sorts Mill Goudy	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	FontForge 2.0 : Sorts Mill Goudy Italic : 31-8-2011	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Sorts Mill Goudy Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 003.101 	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	SortsMillGoudy-Italic	(3, 1, 1033, 6)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
