NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2018 The Staatliches Project Authors (https://github.com/googlefonts/staatliches)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Staatliches	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.000;TYPB;Staatliches-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Staatliches Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.000; ttfautohint (v1.8.2) -l 8 -r 50 -G 200 -x 14 -D latn -f none -a qsq -X ""	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Staatliches-Regular	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Type Brut Foundry	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Brian LaRossa & Erica Carras	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	www.typebrut.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	larossa.co and ericacarras.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
