NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2015 by Carolina Giovagnoli. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Sura	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.003;HT  ;Sura-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Sura	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.003;PS 001.002;hotconv 1.0.70;makeotf.lib2.5.58329 DEVELOPMENT; ttfautohint (v1.00) -l 8 -r 50 -G 200 -x 14 -D latn -f none -w G	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Sura-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Andada ht Pro is a trademark of Carolina Giovagnoli (huertatipografica.com.ar).	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Huerta Tipografica	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Carolina Giovagnoli	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.huertatipografica.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.huertatipografica.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
