NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2010 by Toshi Omagari. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Tangerine	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.3;UKWN;Tangerine-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Tangerine Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.3	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Tangerine-Regular	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Tangerine is a trademark of Toshi Omagari.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Toshi Omagari	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Toshi Omagari	(1, 0, 0, 9)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2010 by Toshi Omagari. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Tangerine	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.3;UKWN;Tangerine-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Tangerine Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.3	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Tangerine-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Tangerine is a trademark of Toshi Omagari.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Toshi Omagari	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Toshi Omagari	(3, 1, 1033, 9)
