NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2010, Danh Hong (khmertype.blogspot.com),??with Reserved Font Name NiDA Taprom.??This Font Software is licensed under the SIL Open Font License, Version 1.1.??This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Taprom	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	Taprom:Version 3.10	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Taprom	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 3.10 December 28, 2010	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Taprom	(1, 0, 0, 6)
Description	Macintosh	Roman	English	This font was created using FontCreator 5.6 from High-Logic.com	(1, 0, 0, 10)
Name ID [256]	Macintosh	Roman	English	All Typographic Features	(1, 0, 0, 256)
Name ID [257]	Macintosh	Roman	English	Ligatures	(1, 0, 0, 257)
Name ID [258]	Macintosh	Roman	English	All Type Features	(1, 0, 0, 258)
Name ID [259]	Macintosh	Roman	English	Common Ligatures	(1, 0, 0, 259)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2010, Danh Hong (khmertype.blogspot.com),  with Reserved Font Name Taprom.  This Font Software is licensed under the SIL Open Font License, Version 1.1.  This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Taprom	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Taprom:Version 3.10	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Taprom	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 3.10 December 28, 2010	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Taprom	(3, 1, 1033, 6)
Description	Windows	Unicode BMP	English (United States)	This font was created using FontCreator 5.6 from High-Logic.com	(3, 1, 1033, 10)
