NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2012 Andhrapradesh Society for Knowledge Networks (fonts.siliconandhra.org). Copyright (c) 2011, Wojciech Kalinowski (wmk69@o2.pl), with Reserved Font Names 'Classica'	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Tenali Ramakrishna	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.0.5;pyrs;TenaliRamakrishna-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Tenali Ramakrishna	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.0.5; ttfautohint (v1.2.25-373a) -l 7 -r 28 -G 50 -x 13 -D telu -f latn -w G -X ""	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	TenaliRamakrishna	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	Andhrapradesh Society for Knowledge Networks	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Appaji Ambarisha Darbha	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	adityafonts.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	adityafonts.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Compatible Full Name	Macintosh	Roman	English	Tenali Ramakrishna	(1, 0, 0, 18)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2012 Andhrapradesh Society for Knowledge Networks (fonts.siliconandhra.org). Copyright (c) 2011, Wojciech Kalinowski (wmk69@o2.pl), with Reserved Font Names 'Classica'	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Tenali Ramakrishna	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.0.5;pyrs;TenaliRamakrishna-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Tenali Ramakrishna	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.0.5; ttfautohint (v1.2.25-373a) -l 7 -r 28 -G 50 -x 13 -D telu -f latn -w G -X ""	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	TenaliRamakrishna	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Andhrapradesh Society for Knowledge Networks	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Appaji Ambarisha Darbha	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	adityafonts.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	adityafonts.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Compatible Full Name	Windows	Unicode BMP	English (United States)	Tenali Ramakrishna	(3, 1, 1033, 18)
