NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Mac	Roman	English	Copyright 2020 The Tsukimi Rounded Project Authors (https://github.com/mt-funa/Tsukimi-Rounded), all rights reserved.	(1, 0, 0, 0)
Family	Mac	Roman	English	Tsukimi Rounded	(1, 0, 0, 1)
Subfamily	Mac	Roman	English	Bold	(1, 0, 0, 2)
Unique ID	Mac	Roman	English	1.032;FUNA;TsukimiRounded-Bold	(1, 0, 0, 3)
Full Name	Mac	Roman	English	Tsukimi Rounded Bold	(1, 0, 0, 4)
Version	Mac	Roman	English	Version 1.032; ttfautohint (v1.8.3)	(1, 0, 0, 5)
Postscript	Mac	Roman	English	TsukimiRounded-Bold	(1, 0, 0, 6)
Manufacturer	Mac	Roman	English	Takashi Funayama	(1, 0, 0, 8)
Designer	Mac	Roman	English	Takashi Funayama	(1, 0, 0, 9)
URL Vendor	Mac	Roman	English	http://mt-funa.com	(1, 0, 0, 11)
URL Designer	Mac	Roman	English	http://mt-funa.com	(1, 0, 0, 12)
License Description	Mac	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL	(1, 0, 0, 13)
License Info URL	Mac	Roman	English	https://scripts.sil.org/OFL	(1, 0, 0, 14)
Family	Mac	Japanese	Japanese	つきみ丸ゴかな	(1, 1, 11, 1)
Subfamily	Mac	Japanese	Japanese	Bold	(1, 1, 11, 2)
Copyright	MS	BMP	English (U.S.)	Copyright 2020 The Tsukimi Rounded Project Authors (https://github.com/mt-funa/Tsukimi-Rounded), all rights reserved.	(3, 1, 1033, 0)
Family	MS	BMP	English (U.S.)	Tsukimi Rounded	(3, 1, 1033, 1)
Subfamily	MS	BMP	English (U.S.)	Bold	(3, 1, 1033, 2)
Unique ID	MS	BMP	English (U.S.)	1.032;FUNA;TsukimiRounded-Bold	(3, 1, 1033, 3)
Full Name	MS	BMP	English (U.S.)	Tsukimi Rounded Bold	(3, 1, 1033, 4)
Version	MS	BMP	English (U.S.)	Version 1.032; ttfautohint (v1.8.3)	(3, 1, 1033, 5)
Postscript	MS	BMP	English (U.S.)	TsukimiRounded-Bold	(3, 1, 1033, 6)
Manufacturer	MS	BMP	English (U.S.)	Takashi Funayama	(3, 1, 1033, 8)
Designer	MS	BMP	English (U.S.)	Takashi Funayama	(3, 1, 1033, 9)
URL Vendor	MS	BMP	English (U.S.)	http://mt-funa.com	(3, 1, 1033, 11)
URL Designer	MS	BMP	English (U.S.)	http://mt-funa.com	(3, 1, 1033, 12)
License Description	MS	BMP	English (U.S.)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL	(3, 1, 1033, 13)
License Info URL	MS	BMP	English (U.S.)	https://scripts.sil.org/OFL	(3, 1, 1033, 14)
Family	MS	BMP	Japanese	つきみ丸ゴかな	(3, 1, 1041, 1)
Subfamily	MS	BMP	Japanese	Bold	(3, 1, 1041, 2)
