NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2011, Thatcher Ulrich (http://tulrich.com), Karoly Barta, Michael Everson (http://www.evertype.com), with Reserved Font Name "Tuffy	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Tuffy	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Italic	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.272;PfEd;Tuffy-Italic	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Tuffy Italic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.272; ttfautohint (v1.6)	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Tuffy-Italic	(1, 0, 0, 6)
Designer	Macintosh	Roman	English	Thatcher Ulrich, Karoly Barta and Michael Everson	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://tulrich.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://tulrich.co	(1, 0, 0, 12)
Typographic Subfamily Name	Macintosh	Roman	French	NormalItalique	(1, 0, 1, 17)
Typographic Subfamily Name	Macintosh	Roman	German	StandardKursiv	(1, 0, 2, 17)
Typographic Subfamily Name	Macintosh	Roman	Italian	NormaleCursivo	(1, 0, 3, 17)
Typographic Subfamily Name	Macintosh	Roman	Dutch	RegelmatigCursief	(1, 0, 4, 17)
Typographic Subfamily Name	Macintosh	Roman	Swedish	MagerKursiv	(1, 0, 5, 17)
Typographic Subfamily Name	Macintosh	Russian	Russian	ОбычныйКурсив	(1, 7, 32, 17)
Typographic Subfamily Name	Windows	Unicode BMP	German (Germany)	StandardKursiv	(3, 1, 1031, 17)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011, Thatcher Ulrich (http://tulrich.com), Karoly Barta, Michael Everson (http://www.evertype.com), with Reserved Font Name "Tuffy	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Tuffy	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.272;PfEd;Tuffy-Italic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Tuffy Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.272; ttfautohint (v1.6)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Tuffy-Italic	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	Thatcher Ulrich, Karoly Barta and Michael Everson	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://tulrich.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://tulrich.co	(3, 1, 1033, 12)
Typographic Subfamily Name	Windows	Unicode BMP	French (France)	NormalItalique	(3, 1, 1036, 17)
Typographic Subfamily Name	Windows	Unicode BMP	Hungarian (Hungary)	NormálDőlt	(3, 1, 1038, 17)
Typographic Subfamily Name	Windows	Unicode BMP	Italian (Italy)	NormaleCursivo	(3, 1, 1040, 17)
Typographic Subfamily Name	Windows	Unicode BMP	Dutch (Netherlands)	RegelmatigCursief	(3, 1, 1043, 17)
Typographic Subfamily Name	Windows	Unicode BMP	Norwegian (Bokmal) (Norway)	VanligKursiv	(3, 1, 1044, 17)
Typographic Subfamily Name	Windows	Unicode BMP	Russian (Russia)	ОбычныйКурсив	(3, 1, 1049, 17)
Typographic Subfamily Name	Windows	Unicode BMP	Swedish (Sweden)	MagerKursiv	(3, 1, 1053, 17)
