NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2012 by Sorkin Type Co (www.sorkintype.com), with Reserved Font Name 'Vampiro'	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Vampiro One	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	SorkinTypeCo.: Vampiro One	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Vampiro One	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.002	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	VampiroOne-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Vampiro is a trademark of Sorkin Type Co.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Sorkin Type Co.	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Riccardo De Franceschi	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Vampiro is a low contrast script font. It was inspired by the 20th C. Italian tradition of monoline scripts. Vampiro is best used for display purposes at medium to large sizes.	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	www.sorkintype.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	www.sorkintype.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
