NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2017 The Vollkorn Project Authors (https://github.com/FAlthausen/Vollkorn-Typeface)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Vollkorn SC	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	4.015;UKWN;VollkornSC-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Vollkorn SC Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 4.015	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	VollkornSC-Regular	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	Friedrich Althausen	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Friedrich Althausen	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://vollkorn-typeface.com/	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://friedrichalthausen.de/	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Name ID [256]	Macintosh	Roman	English	Alternative Letters	(1, 0, 0, 256)
Name ID [257]	Macintosh	Roman	English	Polish	(1, 0, 0, 257)
Name ID [258]	Macintosh	Roman	English	Dutch	(1, 0, 0, 258)
Name ID [259]	Macintosh	Roman	English	Bulgarian	(1, 0, 0, 259)
Name ID [260]	Macintosh	Roman	English	Alternative Figure Three	(1, 0, 0, 260)
Name ID [261]	Macintosh	Roman	English	Alternative Figure Four	(1, 0, 0, 261)
Name ID [262]	Macintosh	Roman	English	Alternative Figure Seven	(1, 0, 0, 262)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2017 The Vollkorn Project Authors (https://github.com/FAlthausen/Vollkorn-Typeface)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Vollkorn SC	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	4.015;UKWN;VollkornSC-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Vollkorn SC Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 4.015	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	VollkornSC-Regular	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Friedrich Althausen	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Friedrich Althausen	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://vollkorn-typeface.com/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://friedrichalthausen.de/	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Name ID [256]	Windows	Unicode BMP	English (United States)	Alternative Letters	(3, 1, 1033, 256)
Name ID [257]	Windows	Unicode BMP	English (United States)	Polish	(3, 1, 1033, 257)
Name ID [258]	Windows	Unicode BMP	English (United States)	Dutch	(3, 1, 1033, 258)
Name ID [259]	Windows	Unicode BMP	English (United States)	Bulgarian	(3, 1, 1033, 259)
Name ID [260]	Windows	Unicode BMP	English (United States)	Alternative Figure Three	(3, 1, 1033, 260)
Name ID [261]	Windows	Unicode BMP	English (United States)	Alternative Figure Four	(3, 1, 1033, 261)
Name ID [262]	Windows	Unicode BMP	English (United States)	Alternative Figure Seven	(3, 1, 1033, 262)
