NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2011 by Lars Berggren. All rights reserved.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Wallpoet	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	LarsBerggren: Wallpoet: 2011	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Wallpoet	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.000	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Wallpoet	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Wallpoet is a trademark of Lars Berggren.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Lars Berggren	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Lars Berggren	(1, 0, 0, 9)
Description	Macintosh	Roman	English	Copyright (c) 2011 by Lars Berggren. All rights reserved.	(1, 0, 0, 10)
Designer URL	Macintosh	Roman	English	http://www.punktlars.se/	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1.	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011 by Lars Berggren. All rights reserved.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Wallpoet	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	LarsBerggren: Wallpoet: 2011	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Wallpoet	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Wallpoet	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Wallpoet is a trademark of Lars Berggren.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Lars Berggren	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Lars Berggren	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Copyright (c) 2011 by Lars Berggren. All rights reserved.	(3, 1, 1033, 10)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.punktlars.se/	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
