NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011, Cyreal Type Foundry (a@cyreal.org), with Reserved Font Name 'Wire'	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Wire One	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	CyrealTypeFoundry: Wire: 2011	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Wire One	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.012	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	WireOne	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Wire is a trademark of Cyreal Type Foundry.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Cyreal Type Foundry	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Alexei Vanyashin, Gayaneh Bagdasaryan	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://cyreal.org	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://cyreal.org	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
