NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2010, The Yanone Kaffeesatz Project Authors (post@yanone.de)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Yanone Kaffeesatz	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	2.000;YN  ;YanoneKaffeesatz-Bold	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Yanone Kaffeesatz Bold	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 2.000	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	YanoneKaffeesatz-Bold	(1, 0, 0, 6)
Manufacturer	Macintosh	Roman	English	Yanone	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Yanone (Cyrillic: Daniel Pouzeot, Huerta Tipografica, and Cyreal)	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://yanone.de	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://yanone.de	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2010, The Yanone Kaffeesatz Project Authors (post@yanone.de)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Yanone Kaffeesatz	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	2.000;YN  ;YanoneKaffeesatz-Bold	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Yanone Kaffeesatz Bold	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 2.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	YanoneKaffeesatz-Bold	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Yanone	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Yanone (Cyrillic: Daniel Pouzeot, Huerta Tipografica, and Cyreal)	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://yanone.de	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://yanone.de	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
