NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2014 The Yatra Project Authors.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Yatra One	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.002;ITFO;YatraOne-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Yatra One Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.002g;PS 1.0;hotconv 1.0.86;makeotf.lib2.5.63406; ttfautohint (v1.4.1)	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	YatraOne-Regular	(1, 0, 0, 6)
Designer	Macintosh	Roman	English	Catherine Leigh Schmidt	(1, 0, 0, 9)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2014 The Yatra Project Authors.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Yatra One	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.002;ITFO;YatraOne-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Yatra One Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.002g;PS 1.0;hotconv 1.0.86;makeotf.lib2.5.63406; ttfautohint (v1.4.1)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	YatraOne-Regular	(3, 1, 1033, 6)
Designer	Windows	Unicode BMP	English (United States)	Catherine Leigh Schmidt	(3, 1, 1033, 9)
