NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2018 The ZCOOL XiaoWei Project Authors (https://www.github.com/googlefonts/xiaowei)	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	ZCOOL XiaoWei	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.000;918 ;ZCOOLXiaoWei-Regular	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	ZCOOL XiaoWei Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.000	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	ZCOOLXiaoWei-Regular	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	xiaowei	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	ZCOOL	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	David Lee	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://zcool.com.cn	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	https://www.zcool.com.cn/u/13601908	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Family Name	Macintosh	Chinese (Simplified)	Chinese (Simplified)	站酷小薇体 常规	(1, 25, 33, 1)
Subfamily Name	Macintosh	Chinese (Simplified)	Chinese (Simplified)	Regular	(1, 25, 33, 2)
Typographic Family Name	Macintosh	Chinese (Simplified)	Chinese (Simplified)	站酷小薇体	(1, 25, 33, 16)
Typographic Subfamily Name	Macintosh	Chinese (Simplified)	Chinese (Simplified)	常规	(1, 25, 33, 17)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2018 The ZCOOL XiaoWei Project Authors (https://www.github.com/googlefonts/xiaowei)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	ZCOOL XiaoWei	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.000;918 ;ZCOOLXiaoWei-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	ZCOOL XiaoWei Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.000	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	ZCOOLXiaoWei-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	xiaowei	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	ZCOOL	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	David Lee	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://zcool.com.cn	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	https://www.zcool.com.cn/u/13601908	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Family Name	Windows	Unicode BMP	Chinese (People’s Republic of China)	站酷小薇体 常规	(3, 1, 2052, 1)
Subfamily Name	Windows	Unicode BMP	Chinese (People’s Republic of China)	Regular	(3, 1, 2052, 2)
Typographic Family Name	Windows	Unicode BMP	Chinese (People’s Republic of China)	站酷小薇体	(3, 1, 2052, 16)
Typographic Subfamily Name	Windows	Unicode BMP	Chinese (People’s Republic of China)	常规	(3, 1, 2052, 17)
