NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2017, The Mozilla Foundation	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Zilla Slab Light	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Typothequetypefoundry: Zilla Slab Light: 2017	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Zilla Slab Light	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.1; 2017; ttfautohint (v1.6)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	ZillaSlab-Light	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Zilla is a trademark of The Mozilla Corporation	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Typotheque type foundry	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Typotheque.com	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.typotheque.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.typotheque.com	(3, 1, 1033, 12)
Typographic Family Name	Windows	Unicode BMP	English (United States)	Zilla Slab	(3, 1, 1033, 16)
Typographic Subfamily Name	Windows	Unicode BMP	English (United States)	Light	(3, 1, 1033, 17)
