NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2017, The Mozilla Foundation	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Zilla Slab	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	Typothequetypefoundry: Zilla Slab Regular: 2017	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Zilla Slab	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.1; 2017; ttfautohint (v1.6)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	ZillaSlab-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Zilla is a trademark of The Mozilla Corporation	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Typotheque type foundry	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Typotheque.com	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Zilla is a Slab serif display typeface specifically designed for Mozilla brand	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.typotheque.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.typotheque.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Licensed under the Open Font License, version 1.1 or later.	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
