NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright 2011 Canonical Ltd.  Licensed under the Ubuntu Font Licence 1.0	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Ubuntu	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold Italic	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	0.83;DAMA;Ubuntu-BoldItalic	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Ubuntu Bold Italic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	0.83	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Ubuntu-BoldItalic	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Ubuntu and Canonical are registered trademarks of Canonical Ltd.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Dalton Maag Ltd	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Dalton Maag Ltd	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://www.daltonmaag.com/	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.daltonmaag.com/	(1, 0, 0, 12)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2011 Canonical Ltd.  Licensed under the Ubuntu Font Licence 1.0	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Ubuntu	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	0.83;DAMA;Ubuntu-BoldItalic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Ubuntu Bold Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	0.83	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Ubuntu-BoldItalic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Ubuntu and Canonical are registered trademarks of Canonical Ltd.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Dalton Maag Ltd	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Dalton Maag Ltd	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.daltonmaag.com/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.daltonmaag.com/	(3, 1, 1033, 12)
